input,expected_action,predicted_action,correct,reply
"I feel a bit tired lately",ASK_FOLLOWUP,RETRIEVE_GUIDELINE,False,"Okay  I hear you. It's completely understandable to feel a bit tired sometimes. It can be really draining  and it's okay to acknowledge that.   When I think about it  feeling tired can sometimes be connected to feeling a bit down overall. The system mentioned something called Behavioral Activation  which is just a way to gently nudge you towards doing small things that can help lift your mood  even just a little.   Would you be open to trying something small? Sometimes just getting a little bit of energy back can make a difference. How about this: could you maybe just drink a glass of water? It might not seem like much  but it can be a tiny step.   No pressure at all  but if you're willing  it might be a helpful thing to try. Let me know if you'd like to try that  or if you'd prefer to talk more about how you're feeling. We can explore other small things too!    "
"I've been feeling stressed about work",ASK_FOLLOWUP,RETRIEVE_GUIDELINE,False,"Okay  I hear you. It's completely understandable to feel stressed about work – it's a really common experience. It takes courage to acknowledge that  and I want you to know you're not alone in feeling this way.   Since you mentioned feeling stressed about work  it might be helpful to think about *what* contributes to that stress. We could look at the different factors involved – things you *can* control versus things you can't.   I've got an idea that might help. Let's try something called a Responsibility Pie Chart. It's a way to visually break down what's contributing to your stress. We'll assign percentages to different areas  like:  *   **Things I can control:** (e.g.  my workload  meeting deadlines  how I manage my time  my communication with colleagues) *   **Things I can't control:** (e.g.  company policies  other people's performance  unexpected changes  external factors) *   **Things I *think* I'm responsible for  but might not be:** (e.g.  feeling like I need to please everyone  taking on extra tasks that aren't really my responsibility) *   **Things stemming from my reactions/interpretations:** (e.g.  overthinking situations  catastrophizing  feeling personally attacked)  There's no right or wrong answer here. Just a way to start gaining a clearer picture of where your stress is coming from.   Would you be open to taking a few minutes to start thinking about those categories and assigning percentages to them? It might not solve everything  but it could help us understand the situation a bit better.  No pressure at all  just a gentle exploration.    "
"I have a mild headache today",ASK_FOLLOWUP,RETRIEVE_GUIDELINE,False,"Okay  I hear you. A mild headache can definitely make things feel a little off  and it’s understandable to feel low when you're not feeling your best. It's good that you're acknowledging it.   Since you're dealing with a bit of everything today – feeling low  lack of energy  and the headache – let’s try a small  gentle shift.  My suggestion from earlier is **Behavioral Activation**. Sometimes  even small actions can help nudge us a little bit out of the feeling of being stuck.  Would you be willing to try something really small? How about drinking a glass of water? It’s something simple  and it might help to rehydrate and give you a little bit of a break. No pressure at all  just a tiny step.    Let me know if you decide to try that  or if you’d like to talk about anything else.  Just remember  even small steps forward can make a difference.    "
"I feel anxious before meetings",ASK_FOLLOWUP,RETRIEVE_GUIDELINE,False,"Okay  I hear you. It's completely understandable to feel anxious before meetings – it's a very common feeling! It sounds like you're experiencing a lot of worrying about what might go wrong  and that can definitely make things feel overwhelming.   Let's try a quick technique to help ground you in the present moment and calm your nervous system. This is called Box Breathing. It's a simple way to bring your breath back into focus.  Ready?  Let's start with **inhaling for 4 seconds**. Feel your breath going in... and hold it for **4 seconds**.   Now  **exhale slowly for 4 seconds**. And hold that exhale for **4 seconds**.   Just focus on the counting in your head - 4  4  4  4.   Let's do that one more time... **inhale for 4... hold for 4... exhale for 4... hold for 4.**  How does that feel? Even just a few rounds can make a difference. We can keep practicing if you'd like. Just focus on your breath  and notice how it helps to bring you back to the present.    "
"I haven't been sleeping well",ASK_FOLLOWUP,RETRIEVE_GUIDELINE,False,""I hear you. It sounds incredibly frustrating and exhausting to not be sleeping well. That feeling of worry and restlessness can really take a toll.   Let's try a little something to gently help quiet your mind.  Could you try this with me?  Imagine a series of words  starting with the letter 'A'.  Think of anything that comes to mind – objects  animals  actions... just let the words flow.    Then  as you're thinking of the 'A' words  shift your focus to words starting with the letter 'B'.  Just a simple mental shifting of the alphabet.    It might take a moment  but sometimes this gentle exercise can help to calm the mental chatter a little.  No pressure at all  just see if it helps a tiny bit."    "
"I feel lonely sometimes",ASK_FOLLOWUP,RETRIEVE_GUIDELINE,False,""Oh  I'm so sorry to hear you're feeling lonely sometimes. It's a really tough feeling  and it's completely valid to feel that way. You're definitely not alone in experiencing this.   I understand that sometimes just acknowledging the feeling can be a relief.  And you know what?  We can start with something really small.  It's often easier than we think!    How about we try a 'micro-interaction'? This is just a tiny step to connect with someone.  Could you maybe try saying hello to someone – a neighbor  a cashier at a store  someone you pass on the street?  It doesn't have to be a long conversation  just a simple 'hello'.  No pressure at all  but sometimes a small connection can make a difference.    Just a thought to try.  Let me know how it goes if you feel up to it!"    "
"I feel overwhelmed with school",ASK_FOLLOWUP,RETRIEVE_GUIDELINE,False,"Okay  I hear you. It sounds like you're carrying a lot right now  and feeling overwhelmed with school is completely understandable. It's really brave of you to acknowledge that.   It's okay to feel overwhelmed – it’s a common experience  especially when school feels demanding.  Let’s try something small to help shift your focus just a tiny bit.  Remember  the goal isn't to solve everything at once  just to gently nudge you toward a little bit of feeling a bit more…present.  I've been reminded of something called **Behavioral Activation**. It’s about finding small  manageable things to do  even when you don't feel like it  so it can help boost your mood.   Would you be open to trying just **one tiny task**? It doesn't have to be anything big at all.  Maybe just **drinking a glass of water**?  It's a neutral  basic act  and sometimes just breaking things down into that small step can make a difference.   You don't have to do anything else right now. Just think about that glass of water for a moment. Let me know if you'd like to try that or if you'd prefer to talk more about what's making you feel so overwhelmed.  I'm here to listen.    "
"My throat feels a little sore",ASK_FOLLOWUP,RETRIEVE_GUIDELINE,False,"Okay  I hear you. It sounds like your throat is a little sore. That's definitely uncomfortable.  It's completely understandable that you'd be feeling concerned about that.   And you know  sometimes when we're feeling a little down or stressed (which can sometimes be connected to feeling guilty  even if it's not directly related)  even small physical discomforts can feel amplified.   Let's take a moment to break this down. Sometimes  when we're feeling a lot of things going on inside  it helps to look at all the different factors that might be contributing.  It’s not always about one single thing.  I’m going to suggest something called a "Responsibility Pie Chart." It’s just a way to think about what *might* have contributed to this feeling. It's not about assigning blame  but about acknowledging all the different elements.  Could you maybe think about what could have *potentially* led to your throat feeling sore?  Don't worry about assigning percentages just yet. Just list out  in your own thoughts or maybe even briefly on a piece of paper  *everything* that comes to mind – even if it seems small or insignificant.    For example  maybe it's related to something you ate  something you did  maybe even a stressor you're dealing with.  Just a list of possibilities.  We don't have to solve anything right now. Just brainstorming a list of *potential* factors can sometimes help us gain some perspective.     "
"I feel a little down today",ASK_FOLLOWUP,RETRIEVE_GUIDELINE,False,"Okay  I hear you. It sounds like you're feeling a little down today  and that’s completely valid. It takes courage to acknowledge those feelings.   It's okay to not feel okay. Sometimes  even when we're not feeling our best  we can still take small steps forward.    Based on what you've shared  and the suggestions I mentioned earlier  a tiny  manageable task might help. How about just **drinking a glass of water**? It might seem small  but it can sometimes help re-engage you with the present moment.   No pressure at all  just a little something to try.  Even if you don't feel a difference  you've completed a small act of self-care.   Would you like to try that? Or is there something else  even just a very small thing  that you'd be willing to consider?  Just let me know.    "
"I've been feeling distracted lately",ASK_FOLLOWUP,RETRIEVE_GUIDELINE,False,""It sounds like you're navigating a lot right now  and feeling distracted can be a really common part of that. I hear you saying you've been feeling a little off lately. That's okay. Let's gently ground ourselves in the present moment.  Sometimes  focusing on something physical can help bring us back. How about we try heel-to-toe walking for a few moments? Just focus on the feeling of your heel making contact with the ground  then your toes.  Notice the pressure  the texture of the surface.  We'll just walk slowly  paying close attention to the sensation of each step.    Just let's focus on the feeling of your feet on the ground  okay? We can do this for a minute or two  and then we can see how that feels."    "
